time,price,trade,amount
2016/6/7,3177.053,6892831400.00 ,88711618425.40 
2016/6/6,3178.788,7669375100.00 ,101176231366.00 
2016/6/3,3189.325,10149178300.00 ,136332027087.00 
2016/6/2,3167.099,8600342700.00 ,97093625344.90 
2016/6/1,3160.547,11314848200.00 ,131700821152.00 
2016/5/31,3169.559,13886311100.00 ,151398175957.00 
2016/5/30,3066.709,6309857900.00 ,63496565009.00 
2016/5/27,3062.499,6046875000.00 ,59371777079.40 
2016/5/26,3064.211,6039298100.00 ,65985183918.90 
2016/5/25,3059.225,5665280300.00 ,63316562529.50 
2016/5/24,3063.555,5873438500.00 ,61106015446.40 
2016/5/23,3087.222,5969721600.00 ,70337514483.50 
2016/5/20,3078.218,5608084200.00 ,65124251092.10 
2016/5/19,3062.5,6044416600.00 ,68679060392.10 
2016/5/18,3068.035,8271536900.00 ,88458847114.80 
2016/5/17,3086.024,6527812500.00 ,75389385458.00 
2016/5/16,3095.308,5946185600.00 ,64405200020.10 
2016/5/13,3074.935,6262975500.00 ,65850995648.70 
2016/5/12,3090.137,7876572600.00 ,81418792606.20 
2016/5/11,3082.808,8179425800.00 ,87323408341.70 
2016/5/10,3069.112,6884993500.00 ,70650764147.20 
2016/5/9,3065.615,9923047700.00 ,100409213488.00 
2016/5/6,3130.354,10868024000.00 ,119265216104.00 
2016/5/5,3213.92,7473368100.00 ,83946496908.00 
2016/5/4,3209.461,9086240800.00 ,97797134813.00 
2016/5/3,3213.54,9816483500.00 ,115733867591.00 
2016/4/29,3156.745,5802977600.00 ,70807704222.00 
2016/4/28,3160.581,6987066000.00 ,78876767222.00 
2016/4/27,3165.916,6000414700.00 ,70620405995.00 
2016/4/26,3179.161,5902073400.00 ,68871554173.00 
2016/4/25,3162.033,6751935100.00 ,74734848036.00 
2016/4/22,3174.901,7707849200.00 ,82442921903.00 
2016/4/21,3160.603,10475265100.00 ,110324379038.00 
2016/4/20,3181.026,16220785800.00 ,172324694469.00 
2016/4/19,3238.303,8087144000.00 ,90976236261.00 
2016/4/18,3228.453,9709006900.00 ,103956150095.00 
2016/4/15,3272.205,9980752900.00 ,107963982334.00 
2016/4/14,3275.832,11315732700.00 ,117989443450.00 
2016/4/13,3261.383,19561386600.00 ,200159601290.00 
2016/4/12,3218.45,9286943700.00 ,99086557951.00 
2016/4/11,3230.096,12521270900.00 ,142759491340.00 
2016/4/8,3185.726,10100562500.00 ,113920716519.00 
2016/4/7,3209.29,11240946700.00 ,128273067720.00 
2016/4/6,3257.528,12019630500.00 ,137206268587.00 
2016/4/5,3264.486,14604777200.00 ,159296543667.00 
2016/4/1,3221.895,11812213900.00 ,127050098456.00 
2016/3/31,3218.088,12155207400.00 ,147267617416.00 
2016/3/30,3216.275,11780251200.00 ,140721774451.00 
2016/3/29,3135.41,9729474700.00 ,113844280553.00 
2016/3/28,3169.728,10344193300.00 ,123844044128.00 
2016/3/25,3197.817,9739533000.00 ,115195604431.00 
